GCP_Replicated_Project,ProductArea,GCP_Replicated_Dataset,GCP_Replicated_Table,TD_Database_Name,TD_Object_Name,Target_Project,Target_Dataset,Target_View_Name,BQ_View,Collate_View_Created,UG_Classification,K45_Created,Need_Historical_Data,Script_Count,Flipped_Date,Comments,In_Master_Sheet,Unnamed_18,Temp,Bizdo_Tablename,Replication_Dag_Name,Replication_Dag_Schedule,Modernized_Project,Modernized_Table,Modernized_Dag_Name,Modernized_Dag_Schedule
vzw-ops-pl-customer-18,,ds_network_156,network_master_6109,EDW_PRD_249,network_master_6109,vzw-ops-pl-customer-18,ds_billing_092,network_master_6109,vz-it-pr-gk1v-bizdo-0.ntl_prd_qmtbls.aal_general_summary_v,Yes,UG1,,,,,,,,,vz-it-pr-gk1v-bizdo-0.vzw_mkt_uda_tbls.aal_general_summary_v,dg_gk1v_edwdo_mrkt_aal_general_summary_v,"""12 12 * * *""",,,,
vzw-mkt-ds-customer-21,,ds_billing_164,billing_dim_6110,STG_LNDG_162,finance_master_6276,vzw-mkt-ds-customer-21,ds_support_000,finance_master_6276,vz-it-pr-gk1v-edwdo-0.aar_prd_allvm.bcm_bu_case_marketing_xref_v,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,network_detail_6111,STG_LNDG_162,billing_xref_6278,vzw-mkt-ds-customer-21,ds_support_000,billing_xref_6278,vz-it-pr-gk1v-edwdo-0.aar_prd_allvm.bcm_business_case_master_v,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,marketing_dim_6112,STG_LNDG_162,sales_lookup_6280,vzw-mkt-ds-customer-21,ds_support_000,sales_lookup_6280,vz-it-pr-gk1v-edwdo-0.aar_prd_allvm.bcm_marketing_prop_details_v,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,marketing_xref_6113,STG_LNDG_162,customer_fact_6282,vzw-mkt-ds-customer-21,ds_support_000,customer_fact_6282,vz-it-pr-gk1v-edwdo-0.aar_prd_allvm.bcm_marketing_sed_xref_v,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,customer_lookup_6116,OPS_DATA_261,customer_lookup_6116,vzw-mkt-ds-customer-21,ds_finance_105,customer_lookup_6116,vz-it-pr-gk1v-edwdo-0.rcms_prodv.acct,Yes,,,,,,,,,,,,,,,,
vzw-fin-st-inventory-20,Core,ds_inventory_162,finance_summary_6117,EDW_PRD_247,sales_xref_6118,vzw-mkt-ds-customer-21,ds_marketing_090,sales_xref_6118,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acct_bill_v,Yes,,,,,11/24/2025,Pointing to modernized table udm_prd_tbls.acct_bill,Yes,,,,gk1v_cwlspr_cwls_guda_acct_bill,,vzw-it-pr-billing-00,udm_prd_tbls.acct_bill,"dg_gk1v_edwpr_wls_vsn_natl_udm_upserts_onex
dg_gk1v_edwpr_wls_vision_dailyload_vsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_vsn_7am
dg_gk1v_edwpr_wls_vision_dailyload_nvsn_12am
dg_gk1v_edwpr_wls_vision_dailyload_nvsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_nvsn_7am
dg_gk1v_edwpr_wls_vision_dailyload_wvsn_12am
dg_gk1v_edwpr_wls_vision_dailyload_wvsn_5pm
dg_gk1v_edwpr_wls_bvsn_natl_udm_upserts_onex
dg_gk1v_edwpr_wls_vision_dailyload_bvsn_5pm
dg_gk1v_edwpr_wls_vision_dailyload_bvsn_7am","None
At 17:00, every day
At 07:00, every day
None
None
None
None
At 17:00, every day
At 17:00, every day
At 07:00, every day"
vzw-mkt-ds-customer-21,,ds_billing_164,customer_xref_6120,MKT_UDA_177,customer_xref_6120,vzw-mkt-ds-customer-21,ds_finance_014,customer_xref_6120,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.acct_billb_curr,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,support_dim_6122,MKT_UDA_177,support_dim_6122,vzw-mkt-ds-customer-21,ds_finance_014,support_dim_6122,vz-it-pr-gk1v-edwdo-0.cdi_crm_tblsv.acct_billb_max,Yes,,,,,,,,,,,,,,,,
vzw-mkt-ds-customer-21,,ds_billing_164,billing_summary_6123,EDW_PRD_247,finance_fact_6124,vzw-mkt-ds-customer-21,ds_marketing_090,finance_fact_6124,vz-it-pr-gk1v-edwdo-0.ntl_prd_allvm.acct_device_sum_fact_v,Yes,,,,,,,,,,,,,,,,
